系统名称,资源类型,分类,域名,公网地址,内网地址,连接串,负责人,环境标识,备注,备忘录内容,拨测监控,拨测状态码,拨测超时,探测间隔,拨测方法,拨测请求头,拨测Body,跟随重定向,跳过证书校验,私有CA路径
WMS系统,网站,业务系统,https://wms-sit.hmglog.com/nwms/,,,,,生产环境,,,是,302,5s,30s,GET,,,,,
阿里云盘企业版,网站,业务系统,https://aliyunfile.hmglog.com/index,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
大数据-图数据库,网站,业务系统,https://neo4j.hmglog.com/,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
到货预约,网站,业务系统,https://daohuoyuyue.hmglog.com,,http://172.16.16.181:4210 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
东电接口-api接口,网站,业务系统,,http://43.240.126.20:51233/third/info,,,,生产环境,,,是,200,5s,30s,GET,,,,,
帆软系统-泓明数据分析平台,网站,业务系统,https://bi.hmglog.com/webroot/decision/login?origin=9c5f380e-47f6-4426-859c-5278dacbb67e,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
访客系统,网站,业务系统,https://visitor.hmglog.com,,http://172.16.16.181:4120 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
海关IC卡加签工具-彭阳,网站,业务系统,,http://43.240.126.20:51323/sw-signing-service/,,,,生产环境,,,是,200,5s,30s,GET,,,,,
海关审单系统,网站,业务系统,https://sensitive-check.hmglog.com/,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
华东数据交互msmq-61.152.108.11,非网站,业务系统,,,,61.152.108.11:1801,,生产环境,,,是,,5s,30s,GET,,,,,
老COS1.0系统,网站,业务系统,,http://47.100.204.13:7780/cos_new,,,,生产环境,,,是,302,5s,30s,GET,,,,,
老阿里云OSS-hmg-dev-middleware,网站,业务系统,https://oss-file.hmglog.com/,,,,,生产环境,,,是,403,5s,30s,GET,,,,,
老阿里云OSS-hmg-pro-public,网站,业务系统,https://hmgfile.hmglog.com/,,,,,生产环境,,,是,403,5s,30s,GET,,,,,
老阿里云OSS-hmg-test-3tms,网站,业务系统,https://oss-test.hmglog.com/,,,,,测试环境,,,是,403,5s,30s,GET,,,,,
老阿里云OSS-hmg-tms,网站,业务系统,https://oss.3tms.hmglog.com/,,,,,生产环境,,,是,403,5s,30s,GET,,,,,
流程管理系统psm,网站,业务系统,https://psm.hmglog.com,http://47.116.43.38:30080,http://172.16.16.159:30080,,,生产环境,,,是,301,5s,30s,GET,,,,,
手持机测试-103.97.112.9,非网站,业务系统,,,,103.97.112.9:6667,,测试环境,,,是,,5s,30s,GET,,,,,
微信小程序upload,网站,业务系统,https://uploadapp.hmglog.com,,http://172.16.16.181:4230 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
医疗官网,网站,业务系统,https://medical.hmglog.com/home,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
亿贸通官网,网站,业务系统,https://www.etradex.cn,,http://172.16.16.181:4280 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
在线审核-生产,网站,业务系统,https://docuai-oss.hmglog.com/login,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
